Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Brooklyn8	207.81	228.1	188.04	200.66	223.77	193.92	223.58	233.17	194.33	222.92	209.7	186.34	258.41	173.82	241.04	235.41	218.6	197.86	266.26	236.48	227.41	247.59	220.26	219.63	271.64	178.11	281.97	255.2	227.34	243.32	268.47	237.84	269.84	247.15	237.38	258.18	254.35
Brooklyn9	163.78	198.23	143.27	159.77	180.17	189.26	165.74	178.98	183.1	169.35	187.87	153.48	191.26	164.5	185.99	178.4	183.49	188.31	178.99	221.39	180.91	195.85	202.97	161.03	204.77	179.11	204.08	200.04	205.67	181.6	204.29	208.04	197.64	212.79	194.01	197.8	251.14
Brooklyn10	343.71	393.39	316.62	338.92	358.81	366.85	371.25	375.15	338.95	356.12	364.85	329.28	408.98	336.46	388.72	368.34	367.07	360.6	409.05	393.27	373.92	388.77	406.61	369.24	470.82	340.02	447.54	423.75	411.16	411.99	450.21	425.94	425.79	419.36	419.89	419.73	487.5
Brooklyn11	397.65	478.45	393.45	401.07	440.33	436.96	429.8	443.37	417.42	412.6	438.22	387.94	471	394.74	465.76	429.22	439.63	425.36	478.75	474.4	445.6	459.55	490.3	419.98	535.54	392.96	524.92	488.46	499.91	478.83	532.96	507.88	497.26	495.94	496.31	481.72	569.17
Brooklyn12	346.53	367.34	319.28	386.37	418.12	383.06	367.81	328.45	302.2	353.75	405.3	322.13	385.48	324.57	377.56	425.4	397.42	357.74	385.23	336.54	332.05	398.09	420.54	332.73	421.91	316.24	403.66	427.53	429.31	412.1	438.63	360.1	347.36	415.41	443.54	397.26	476.68
Brooklyn13	147.91	168.12	132.1	137.57	159.6	158.52	151.96	161.44	152.16	150.85	156.13	130.79	165.93	137.78	161	155.21	161.2	158.51	172.25	186.14	159.91	178.04	179.71	156.93	187.76	158.45	192.4	186.54	193.67	184.99	201.3	204.17	201.77	207.25	185.86	195.02	214.48
Brooklyn14	279.2	320.7	272.97	310.78	321.04	294.58	320.14	291.16	285.36	299.76	303.57	284.9	342.06	276.26	321.1	326.85	307.98	291.38	341.72	304.98	315.59	333.12	330.36	306.65	346.45	276.12	375.49	343.95	360.82	337.52	357.78	340.72	340.34	330.42	361.33	344.15	378
Brooklyn15	379.51	430.58	350.44	387.58	427.22	407.46	401.5	390.91	362.26	389.85	413.32	356.66	434.56	351.97	426.4	423.69	419.86	391.97	437.26	425.56	393.95	433.48	450.96	390.4	478.89	358.55	468.99	454.06	470.55	439.92	483.03	438.69	439.78	453.99	464.91	437.92	495.34
Brooklyn16	105.03	119.36	89.13	100.54	113.56	125.76	107.55	122.22	117.3	99.97	115.79	100.79	121.76	101.07	112.2	99.4	118.66	120.1	108.52	136.59	124.69	128.26	129.79	107.28	143.13	115.88	121.15	131.05	129.59	120.57	141.48	144.98	131.91	137.6	130.13	128.23	165.47
Brooklyn17	323.28	358.21	286.61	319.75	339.95	347.59	360.2	386.21	355.58	349.75	337.82	296.74	400.32	307.18	340.48	340.03	351.24	345.06	398.8	417.85	385.86	397.31	364.3	329.77	443.44	309.28	398.22	385.5	369.04	363.75	429.9	428.25	437.2	413.63	381.84	376.07	457.38
Brooklyn18	445.09	510.27	405.57	449.69	473.18	503.14	491.41	523.54	477.88	465.78	474.89	414.57	535.68	433.58	483.75	467.96	485.98	492.25	529.83	571.63	508.36	516.46	504.26	435.85	586.59	424.95	531.47	512.04	529.7	514.32	603.86	594.61	573.76	562.38	530.5	518.08	654.82
Manhattan1	195.61	228.14	187.86	193.01	184.75	225.84	205.61	182.04	184.95	189.28	222.47	192.39	213.01	256.06	207.18	198.69	210.56	223.43	218.68	218.46	199.1	191.46	257.55	200.6	245.89	203.85	243.94	222.72	236.36	214.89	228.75	211	192.47	235.07	219.91	196.46	282.05
Manhattan2	294.68	316.28	262.54	272.51	303.54	272.65	292.87	281.32	246.73	282.99	298.97	278.4	347.43	272.37	328.18	305.18	313.09	278.82	316.75	277.79	268.31	301.73	295.76	290.23	350.35	263.84	336.57	339.54	303.24	320.18	344.92	274.57	311.39	294.18	319.71	336.74	332.15
Manhattan3	256.21	307.73	223.25	239.14	257.27	289.27	240.21	274.03	255.11	241.06	294.97	246.84	284.78	280.42	293.31	253.87	300.71	295.21	275.26	318.79	274.77	288.15	320.6	251.59	324.21	275.15	331.86	334.81	318.68	289.21	344.96	312.43	314.58	322.65	300.72	289.83	362.22
Manhattan4	321.44	397.36	308.83	311.47	316.39	382.83	314.6	332.68	343.11	302.43	382.52	313.9	356.66	390.45	353.72	316.28	369.15	373.49	335.84	386.08	339.25	346.82	403.37	318	390.91	367.99	381.28	387.46	408.38	365.73	403.16	401.87	358.02	406.51	376.79	341.57	466.49
Manhattan5	163.21	174.49	139.52	141.9	165.85	155.18	143.91	160.94	136.02	155.5	167.95	136.64	171.46	148.3	170.27	156.06	159.92	150.65	160.14	157.07	137.82	161.91	158.89	140.83	191.06	151.09	164.75	189.42	161.09	173.96	172.78	154.87	168.04	169.59	159.15	185.67	188.42
Manhattan6	356.7	441.52	346.56	345.87	345.06	418.11	334.64	360.39	349.21	334.26	424.36	336.92	389.3	464.72	379.63	350.89	399.76	399.86	356.48	408.56	350.79	356.08	444.04	336	465.34	408.14	405.53	420.22	424.08	381	409.37	396.66	360.23	438.44	391.11	363.37	511.44
Manhattan7	626.64	755.58	606.2	638.78	644.74	689.51	664.37	616.97	597.07	638.76	698.72	643.91	757.76	753.6	699.12	672.84	696.83	670.95	707.95	669.94	633.58	655.74	757.81	677.42	826.17	676.73	822.92	769.15	779.94	716.53	784.17	705.17	722.27	753.63	767.54	735.61	874.18
Manhattan8	668.05	781.76	620.37	646.81	682.68	727.31	641.47	631.22	603.66	645.03	748.62	683.66	765.83	738.98	783.11	690.35	756.78	727.83	707.02	679.32	639.1	700.48	804.3	693.95	880.95	715.61	828.24	794.22	799.15	757.17	788.54	713.11	680.74	745.77	779.77	767.97	899.35
Manhattan9	184.55	227.51	182.55	201.6	206.83	246.27	195.4	201.66	216.82	195.65	228.88	202.57	227.19	245.42	222.79	204.54	226.83	255.72	220.22	243.7	231.08	232.32	266.7	213.21	254.85	276.32	231.27	243.2	264.9	239.12	264.73	266.75	244.29	269.96	254.89	233.82	318.86
