Borough,Row Labels,Row Labels,10/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
Brooklyn,B5,g38,31682.43,31612.66,28561.125,31207.05,31466.345,32040.735,30142.095,30497.48,28501.785,30670.705,31004.08,29430.695,32490.6,29276.23,26735.95,31244.035,29277.485,29793.57,32001.865,28870.295,27852.96,29899.62,30780.45,29682.31,31953.6,29342.18,29222.04,30979.455,29535.31,29512.445,32023.29,28335.4,29868.52,29606.605,30403.92,31799.585,32240.745
Brooklyn,B17,g39,35900.89,35415.01,31875.865,35142.23,35747.305,36682.755,34732.415,35404.55,32976.025,35056.495,35215.74,33511.255,37165.34,32945.11,30001.38,35429.455,33468.265,34219.23,36892.865,33637.745,32367.44,34343.05,35028.56,33925.12,36525.49,32955.03,32931.41,35166.725,33628.35,33876.565,36925.49,33046.36,34684.31,33965.615,34622.83,36078.295,36670.545
Brooklyn,B12,g40,42078.52,41133.82,37017.665,41344.85,42154.155,43108.085,40835.565,40730.94,37864.135,41359.065,41744.26,39411.545,43601.07,38553.62,35332.35,42153.365,39615.535,40400.03,43493.955,38883.695,37442.81,40935.83,41500.07,40041.71,43020.24,38707.69,38559.84,41737.045,40216.98,40243.935,43560.9,38220.87,39901.74,40072.855,41106.82,42396.845,43022.305
Brooklyn,B18,g41,47395.27,45703.3,40890.605,46176.73,47542.325,49152.415,46615.745,46909.04,43452.065,46888.415,47218.07,44598.705,49288.04,43017.55,39071.93,47124.785,44991.215,46168.71,49581.425,44869.175,42973.43,46558.12,46835.15,45496.12,48585.02,43153.58,42923.2,46922.525,45437.94,45884.555,49775.46,44081.11,45867.77,45592.705,46497.93,47878.835,48484.965
Queens,Q6,g42,50278.98,48320.63,43119.315,48747.6,50423.695,52181.675,49489.255,49973.85,46266.225,49737.325,50070.82,47305.185,52181.31,45527.11,41214.38,49743.085,47739.855,48979.53,52601.085,47813.835,45742.61,49441.57,49662.53,48321.28,51479.75,45639.19,45343.12,49660.155,48155.44,48718.405,52748.22,46903.65,48852.56,48419.775,49322.5,50682.135,51299.085
Queens,Q2,g43,53134.74,50986.01,45383.385,51469.79,53317.275,55258.775,52402.345,53109.93,49088.925,52587.205,52966.63,49956.365,55188.15,48170.11,43466.62,52486.465,50578.125,51898.65,55753.965,50839.105,48621.91,52403.26,52619.41,51110.55,54508.28,48207.1,47955.68,52573.075,50963.93,51660.565,55901.07,49835.54,51945.4,51359.795,52263.87,53623.195,54209.415
Queens,Q1,g44,57284.58,54855.37,48659.765,55386.63,57563.785,59731.755,56653.795,57595.93,53147.165,56713.565,57187.01,53852.175,59559.12,51849.7,46569.21,56431.585,54643.665,56020.61,60210.135,55090.755,52633.45,56472.12,56707,55090.16,58640.88,51756.69,51616.83,56507.365,54800.09,55621.875,60139.77,53755.98,56058.63,55276.025,56231.37,57594.055,58115.725
Queens,Q4,g45,61523.73,58848.31,52059.635,59290.1,61780.015,64226.795,60997.145,62284.32,57433.675,60959.705,61454.4,57713.145,63991.94,55742.26,49901.29,60450.445,58796.235,60255.85,64794.665,59573.365,56924.07,60743.83,60905.16,59134.92,63041.82,55493.84,55440.29,60632.135,58799.57,59860.805,64615.89,57921,60357.57,59292.645,60125.08,61556.925,62086.475
Queens,Q8,g46,65227.95,62086.27,54796.875,62551.65,65522.595,68278.025,64800.605,66368.86,61154.005,64777.845,65206.08,61271.555,67906.97,58879.75,52595.06,63874.965,62319.795,64048.77,68906.735,63541.665,60581.18,64554.79,64604.19,62937.16,66833.48,58592.13,58540.22,64150.155,62353.12,63619.575,68703.34,61752.39,64304.67,63059.175,63737.72,65208.305,65628.475
Queens,Q14,g47,68483.02,64802.28,57119.805,65437.68,68730.635,71816.565,68274.075,70086.66,64553.455,68091.705,68428.87,64053.595,71103.4,61570.83,54808.88,66830.605,65519.165,67393.14,72483.755,67221.015,63947.98,67772.93,67654.83,65859.69,69929.86,61114.53,60979.13,67090.935,65376.95,66837.245,72129.75,65178.2,67782.75,66247.265,66601.83,68041.355,68512.255
Queens,Q11,g48,71596.13,67294.77,59211.675,68012.95,71864.615,75347.525,71519.525,73378.66,67569.735,71146.105,71559.97,67203.575,74415.49,64002.62,56827.37,69424.095,68564.915,70716.35,75922.755,70462.445,66979.38,70890.49,70746.58,69297.11,73058.25,63514.88,63365.25,69933.095,68236.91,70021.135,75491.12,68284.64,71003.21,69317.925,69654.94,71061.235,71068.765
Queens,Q5,g49,76538.04,71702.46,62901.175,72461.84,76953.585,80813.685,76465.265,78431.07,72288.295,75930.675,76502.28,71745.015,79496.39,68233.35,60366.01,73875.055,73486.495,75857.12,81162.795,75392.335,71552.85,75632.44,75584,73945.03,77994,67676.92,67441.62,74614.735,72803.5,74851.395,80515.9,73024.47,75921.7,74017.815,74310.8,75764.125,75569.005
Queens,Q9,g50,80569.79,75194.32,65912.215,76096.21,81058.765,85357.705,80748.535,82978.43,76342.585,79970.695,80620.89,75529.715,83721.9,71638.1,63276.02,77555.365,77534.165,80093.13,85750.205,79828.665,75675.51,79700.62,79562.48,77919.75,82112.77,70983.92,70789.21,78504.955,76650.02,79055.345,85042.2,77261.61,80250.29,78039.105,78339.98,79826.305,79516.145
Queens,Q3,g51,85299.08,79505.77,69626.805,80450.81,85856.935,90601.335,85682.335,88292.71,81196.675,84823.495,85517.92,79901.415,88793.88,75913.11,66773.76,82072.055,82295.605,84987.3,91112.305,85117.965,80520.29,84610.08,84491.85,82597.98,87176.72,75090.3,75055.12,83207.955,81270.73,84011.765,90383.79,82355.67,85490.55,82917.065,83211.13,84780.445,84330.565
Queens,Q10,g52,89084.44,82593.63,72263.305,83753.69,89704.315,95050.995,89921.855,92746.45,85096.485,88680.975,89367.89,83408.195,92742.16,78980.2,69312.04,85450.555,86105.795,89140.05,95504.405,89386.135,84483.66,88481.75,88061.33,85868.7,90607.43,77841.01,77797.94,86508.665,84596.79,87700.755,94400.62,86144.42,89316.76,86437.755,86637.04,88208.185,87632.865
Queens,Q7,g53,95705.87,88328.33,77114.165,89542.4,96293.625,102298.045,96792.405,100000.81,91725.025,95346.975,96051.37,89702.395,99590.15,84602.88,74145.16,91306.075,92558.325,96006.26,102702.565,96492.025,91182.14,95210.26,94669.06,92493.82,97329.43,83343.16,83287.36,92809.145,90837.27,94351.895,101644.15,92888.25,96414.3,93065.605,93199.35,94740.355,94012.435
Queens,Q13,g54,100895.12,92468.47,80554.495,93969.28,101799.655,108694.845,102789.755,106348.67,97437.585,100785.215,101433.53,94741.985,105170.47,88567.46,77522.35,95799.235,97868.345,101940.08,108923.425,102621.865,96834.96,100731,99775.64,97935.54,102681.92,87299.27,87242.58,97589.945,95790.74,100145.685,107829.19,98654.04,102424.58,98487.985,98363.11,100162.015,99070.585
Queens,Q12,g55,107294.12,97840.38,85245.745,99729.35,108413.895,116289.905,110049.975,114074.2,104360.865,107434.395,107902.03,100797.195,112031.37,93837.43,82050.48,101644.705,104533.755,109103.09,116613.095,110190.555,103794.08,107585.23,106207.04,104538,109383.67,92469.67,92522.68,103741.745,102042.21,107181.245,115467.34,105947.44,109987.41,105278.625,104793.43,106541.625,105535.155
